Date,Price,Open,High,Low,Vol.,Change %
12/20/2021,23500.00,24450.00,24450.00,21950.00,2.33M,0.0%
12/21/2021,23100.00,22100.00,23100.00,21900.00,1.82M,-2.0%
12/22/2021,22800.00,22600.00,23000.00,21500.00,4.04M,-1.0%
12/23/2021,21250.00,22600.00,22600.00,21250.00,2.02M,-7.0%
12/24/2021,20400.00,20500.00,20950.00,20400.00,510.80K,-4.0%
12/27/2021,19000.00,20150.00,20150.00,19000.00,1.30M,-7.0%
12/28/2021,17700.00,18050.00,18900.00,17700.00,1.61M,-7.0%
12/29/2021,18900.00,16750.00,18900.00,16650.00,631.40K,7.0%
12/30/2021,19200.00,20200.00,20200.00,19150.00,832.10K,2.0%
12/31/2021,18500.00,18300.00,19150.00,18300.00,520.70K,-4.0%
