"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2021","12,160.9","12,418.7","12,582.7","12,090.7","241.13K","-0.19%"
"11/29/2021","12,184.4","11,622.0","12,231.2","11,481.4","259.05K","3.59%"
"11/26/2021","11,762.6","11,950.1","12,137.5","11,715.8","181.59K","-2.33%"
"11/25/2021","12,043.8","11,715.8","12,184.4","11,645.5","232.38K","2.80%"
"11/24/2021","11,715.8","11,481.4","11,715.8","11,340.8","470.09K","2.04%"
"11/23/2021","11,481.4","11,176.8","11,481.4","11,012.8","288.71K","2.51%"
"11/22/2021","11,200.3","11,247.1","11,247.1","11,012.8","205.49K","-0.83%"
"11/19/2021","11,294.0","11,458.0","11,762.6","11,059.7","343.55K","-1.63%"
"11/18/2021","11,481.4","11,247.1","11,879.8","11,083.1","375.35K","2.08%"
"11/17/2021","11,247.1","11,247.1","11,294.0","11,059.7","479.06K","-0.21%"
"11/16/2021","11,270.6","11,247.1","11,434.6","11,153.4","237.29K","-0.21%"
"11/15/2021","11,294.0","10,848.8","11,340.8","10,848.8","782.07K","4.33%"
"11/12/2021","10,825.4","11,036.2","11,036.2","10,684.8","186.93K","-1.28%"
"11/11/2021","10,965.9","10,684.8","11,059.7","10,637.9","395.41K","2.41%"
"11/10/2021","10,708.2","10,872.2","10,872.2","10,591.0","430.40K","-1.72%"
"11/09/2021","10,895.6","11,083.1","11,223.7","10,708.2","484.39K","-3.13%"
"11/08/2021","11,247.1","11,247.1","11,715.8","11,012.8","451.96K","-3.81%"
"11/05/2021","11,692.3","11,903.2","11,903.2","11,458.0","182.45K","-1.77%"
"11/04/2021","11,903.2","11,668.9","11,903.2","11,481.4","365.96K","3.46%"
"11/03/2021","11,504.9","11,294.0","11,504.9","11,247.1","707.81K","6.97%"
"11/02/2021","10,755.1","10,567.6","10,778.5","10,567.6","217.23K","2.00%"
"11/01/2021","10,544.2","10,333.3","10,544.2","10,122.4","298.53K","1.81%"
"10/29/2021","10,356.7","10,122.4","10,403.6","10,075.5","192.05K","2.79%"
"10/28/2021","10,075.5","9,747.5","10,169.3","9,747.5","317.95K","5.39%"
"10/27/2021","9,560.1","9,138.3","9,560.1","9,138.3","241.98K","6.81%"
"10/26/2021","8,950.8","8,833.7","9,044.6","8,833.7","73.83K","1.33%"
"10/25/2021","8,833.7","8,904.0","9,044.6","8,810.2","112.03K","-2.58%"
"10/22/2021","9,068.0","8,997.7","9,068.0","8,833.7","138.06K","0.78%"
"10/21/2021","8,997.7","8,810.2","9,044.6","8,693.1","162.82K","2.40%"
"10/20/2021","8,786.8","8,646.2","8,810.2","8,505.6","289.99K","1.90%"
"10/19/2021","8,622.8","8,575.9","8,622.8","8,388.5","97.30K","0.55%"
"10/18/2021","8,575.9","8,599.4","8,599.4","8,552.5","144.25K","0.55%"
"10/15/2021","8,529.1","8,435.3","8,529.1","8,388.5","202.93K","0.55%"
"10/14/2021","8,482.2","8,622.8","8,622.8","8,435.3","108.61K","-0.55%"
"10/13/2021","8,529.1","8,201.0","8,529.1","8,201.0","318.37K","3.41%"
"10/12/2021","8,247.9","8,247.9","8,247.9","8,060.4","108.40K","0.00%"
"10/11/2021","8,247.9","8,294.8","8,294.8","8,154.2","177.97K","-0.28%"
"10/08/2021","8,271.3","8,411.9","8,411.9","8,201.0","199.94K","0.00%"
"10/07/2021","8,271.3","8,271.3","8,294.8","8,107.3","140.62K","0.00%"
"10/06/2021","8,271.3","8,224.5","8,271.3","8,013.6","212.96K","0.57%"
"10/05/2021","8,224.5","8,341.6","8,341.6","8,013.6","211.47K","1.45%"
"10/04/2021","8,107.3","8,177.6","8,177.6","7,966.7","245.40K","-0.29%"
"10/01/2021","8,130.7","7,779.3","8,177.6","7,755.8","358.71K","4.52%"
"09/30/2021","7,779.3","7,779.3","7,873.0","7,732.4","65.30K","0.00%"
"09/29/2021","7,779.3","7,591.8","7,966.7","7,498.1","115.23K","2.15%"
"09/28/2021","7,615.2","7,451.2","7,662.1","7,310.6","76.39K","2.20%"
"09/27/2021","7,451.2","7,732.4","7,732.4","7,357.5","173.06K","-3.64%"
"09/24/2021","7,732.4","7,826.1","7,873.0","7,638.7","133.58K","-2.37%"
"09/23/2021","7,919.8","8,247.9","8,247.9","7,919.8","322.22K","-3.70%"
"09/22/2021","8,224.5","8,013.6","8,318.2","7,966.7","498.90K","3.85%"
"09/21/2021","7,919.8","7,568.4","7,919.8","7,568.4","336.30K","4.64%"
"09/20/2021","7,568.4","7,357.5","7,849.6","7,263.8","409.49K","2.87%"
"09/17/2021","7,357.5","7,310.6","7,380.9","7,263.8","75.33K","0.64%"
"09/16/2021","7,310.6","7,427.8","7,474.6","7,123.2","91.33K","0.00%"
"09/15/2021","7,310.6","7,170.0","7,310.6","7,076.3","78.95K","3.31%"
