"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2021","12,300.0","12,800.0","13,050.0","12,000.0","2.14M","-3.91%"
"07/13/2021","12,800.0","12,700.0","13,000.0","11,900.0","3.18M","1.59%"
"07/12/2021","12,600.0","13,000.0","13,000.0","12,600.0","3.10M","-6.67%"
"07/09/2021","13,500.0","14,100.0","14,450.0","13,500.0","4.85M","-6.90%"
"07/08/2021","14,500.0","15,000.0","15,100.0","14,200.0","2.41M","-1.69%"
"07/07/2021","14,750.0","14,400.0","15,000.0","14,050.0","3.93M","-2.32%"
"07/06/2021","15,100.0","16,000.0","16,050.0","15,100.0","7.69M","-6.79%"
"07/05/2021","16,200.0","16,500.0","16,600.0","15,800.0","5.86M","2.86%"
"07/02/2021","15,750.0","15,500.0","15,750.0","15,200.0","7.29M","6.78%"
"07/01/2021","14,750.0","14,000.0","14,750.0","13,850.0","11.08M","6.88%"
